"Timestamp","Q1_General background in data analysis?","Q2_Hands-on experience in data analysis using Python?","Q3_Experience in programming in general?","Q4_General background in machine learning?","Q5_Hands-on experience in running machine learning applications?","Q6_Which one would you prefer on a Sunday afternoon?","Q7_Hands-on experience in image analysis using satellite images?","Q8_Level of interest in mathematics?","Q9_Level of interest in reading?","Q10_Level of stress about this class?","Q11_Your overall motivation about this class?"
"2020/01/14 5:11:10 PM EST","8","5","4","6","7","Running","5","3","5","7","3"
"2020/01/14 5:15:45 PM EST","8","8","5","5","6","Reading","7","7","6","7","8"
"2020/01/14 10:10:14 PM EST","6","6","6","6","5","Watching a movie","7","7","7","7","7"
"2020/01/15 10:02:48 AM EST","5","3","6","4","4","Watching a movie","3","8","8","5","10"
"2020/01/15 10:03:20 AM EST","6","6","5","4","3","Reading","4","5","4","10","8"
"2020/01/15 10:03:43 AM EST","8","7","8","3","3","Running","8","4","10","2","8"
"2020/01/15 10:03:50 AM EST","4","3","1","1","1","Reading","1","1","10","8","8"
"2020/01/15 10:03:53 AM EST","7","3","7","6","5","Reading","4","6","8","6","9"
"2020/01/15 10:03:59 AM EST","5","5","5","4","4","Watching a movie","4","4","5","5","7"
"2020/01/15 10:04:03 AM EST","6","6","6","6","6","Watching a movie","4","6","6","5","6"
"2020/01/15 10:04:13 AM EST","4","4","4","5","3","Watching a movie","5","2","7","8","7"
"2020/01/15 10:04:20 AM EST","7","7","7","2","2","Running","7","6","7","5","8"
"2020/01/15 10:04:30 AM EST","8","8","8","6","6","Watching a movie","8","7","8","6","8"
"2020/01/15 10:04:31 AM EST","4","4","4","1","1","Watching a movie","1","5","7","7","8"
"2020/01/15 10:04:42 AM EST","8","7","7","7","7","Running","7","10","5","6","10"
"2020/01/15 10:04:47 AM EST","7","7","6","6","6","Watching a movie","6","6","6","5","7"
"2020/01/15 10:04:53 AM EST","7","6","6","5","5","Reading","1","7","7","4","7"
"2020/01/15 10:06:49 AM EST","6","6","6","5","5","Watching a movie","2","9","9","7","9"
"2020/01/19 8:30:26 PM EST","9","9","9","9","9","Watching a movie","7","6","5","4","10"