"Timestamp","Q1_General background in data analysis?","Q2_Hands-on experience in data analysis using Python?","Q3_Experience in programming in general?	","Q4_General background in machine learning?	","Q5_Hands-on experience in running machine learning applications?	","Q6_Which one would you prefer on a Sunday afternoon?	","Q7_Hands-on experience in image analysis using satellite images?	","Q8_Level of interest in mathematics?	","Q9_Level of interest in reading?	","Q10_Level of stress about this class?	","Q11_Your overall motivation about this class?"
"2021/01/25 8:17:44 AM EST","7","5","7","5","5","Coding for the homework, project or just for fun","7","7","7","5","10"
"2021/01/25 8:37:14 AM EST","7","7","6","6","5","Coding for the homework, project or just for fun","7","4","7","9","6"
"2021/01/25 9:15:33 AM EST","3","4","3","3","2","Watching a movie","5","2","6","8","7"
"2021/01/25 10:34:17 AM EST","5","3","3","2","1","Watching a movie","3","5","5","5","8"
"2021/01/25 10:34:42 AM EST","5","7","7","2","2","Watching a movie","8","8","8","5","8"
"2021/01/25 10:34:46 AM EST","7","7","5","7","7","Reading","6","6","10","7","9"
"2021/01/25 10:34:50 AM EST","7","7","7","7","7","Watching a movie","4","9","10","8","10"
"2021/01/25 10:34:51 AM EST","4","6","5","3","3","Watching a movie","5","2","4","5","6"
"2021/01/25 10:35:21 AM EST","5","5","5","3","3","Reading","3","7","7","5","9"
"2021/01/25 10:35:38 AM EST","3","2","4","1","1","Coding for the homework, project or just for fun","1","2","1","9","9"
"2021/01/25 10:37:42 AM EST","9","8","7","6","5","Reading","1","7","10","4","9"
"2021/01/25 10:37:54 AM EST","9","9","9","8","9","Watching a movie","5","6","6","6","8"
"2021/01/25 10:41:52 AM EST","4","4","4","4","4","Coding for the homework, project or just for fun","6","7","4","8","9"
"2021/01/25 10:44:07 AM EST","4","4","2","2","2","Reading","1","1","10","8","10"
"2021/01/25 5:10:59 PM EST","5","5","6","2","1","Running","1","5","9","5","7"